Target	SeqId	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD
CRBB2	10000-28	Protein	20.0	2.805908455074197	0.09030794169656285	639.6	1509.672739530644
c-Raf	10001-7	Protein	20.0	2.5970366649776535	0.16084150788899473	395.4	715.1273539352112
ZNF41	10003-15	Protein	0.5	2.3157604906657347	0.052498644507844534	206.9	617.6235597741515
ELK1	10006-25	Protein	20.0	2.849357981661299	0.09082472826783894	706.9	863.7608966668195
GUC1A	10008-43	Protein	20.0	2.760422483423212	0.07901070170812903	576.0	758.9571071006171
BECN1	10010-10	Protein	20.0	2.6036855496146996	0.07907440742810236	401.5	828.7492281664448
OCRL	10011-65	Protein	20.0	3.5017847633884998	0.0877862613726187	3175.3	2589.515090329746
SPDEF	10012-5	Protein	20.0	3.2605006977390882	0.10125546356285507	1821.8	1472.1999455026516
Fc_MOUSE	10013-34	Protein	20.0	2.7681198941847973	0.08448092413063481	586.3	833.1575628904861
SLUG	10014-31	Protein	20.0	3.0147304950017535	0.08079829509254706	1034.5	1306.240417518356
KCAB2	10015-119	Protein	20.0	2.8188195075475364	0.10391403491108098	658.9	2142.585869670746
Fc_MOUSE	10021-1	Protein	20.0	3.0463390556048093	0.10200058583288185	1112.6	2669.4463720706
POLH	10022-207	Protein	20.0	2.3637999454791094	0.08570031104834074	231.1	585.9624909832148
VDR	10023-32	Protein	20.0	2.82020145948564	0.09610277303370914	661.0	744.2814803009703
HOGA1	10024-44	Protein	20.0	2.9002578584377776	0.0863957589136429	794.8	2328.778428555725
DLDH	10025-1	Protein	0.5	3.135259898515659	0.10574864085315616	1365.4	805.0036410774054
MutY homolog	10030-8	Protein	20.0	2.2586372827240764	0.0881122412092126	181.4	1495.6349812221797
Fc_MOUSE	10034-16	Protein	20.0	3.635192108638939	0.1297511712068199	4317.1	1850.0366431785812
DUS4	10035-6	Protein	20.0	2.8188195075475364	0.07569767473024924	658.9	558.4525910549487
ZHX3	10036-201	Protein	0.5	3.434983840181938	0.09182048595782669	2722.6	1271.9217340900332
SIG12	10037-98	Protein	20.0	2.4452927694259716	0.14379448516395615	278.8	539.4579860039287
PNP	10039-32	Protein	0.5	3.567426344852574	0.379531900209	3693.4	5196.037568339722
P73L	10040-63	Protein	20.0	2.7408362070573116	0.08155043485131909	550.6	1299.9319318108915
HNF4A	10041-3	Protein	0.5	4.455431142610351	0.1292221707186363	28538.5	9209.837744481338
SGK3	10042-8	Protein	20.0	2.9958106316760427	0.09681751608968396	990.4	1585.1756622334487
BRD4	10043-31	Protein	20.0	2.8071289555924217	0.07047793822311936	641.4	1016.7819556125672
WN10A	10044-12	Protein	20.0	2.935809453809933	0.1595292431214957	862.6	683.1553638507562
CUL3	10045-47	Protein	20.0	3.0005208409361854	0.1859208022615043	1001.2	1244.121798655087
cIAP-1	10046-55	Protein	20.0	3.122150319440805	0.17683238661005127	1324.8	1664.5433608563342
NCF-2	10047-12	Protein	0.5	2.7083359026822635	0.07744773090213097	510.9	1687.0672567006156
PEBB	10048-7	Protein	20.0	3.186362940394731	0.09036065713853615	1535.9	1292.284620384216
TERF1	10049-112	Protein	20.0	2.7652959296980564	0.0648380665945803	582.5	945.1843127343119
ILK1	10053-5	Protein	20.0	4.003658676843487	0.5897645087775124	10084.6	15141.835110127917
GAN	10054-3	Protein	20.0	2.5676144427308447	0.09523498231114602	369.5	473.6649737244307
FOXM1	10056-5	Protein	20.0	3.0223046229350685	0.3065921839615608	1052.7	3370.6047067109803
RD23A	10058-1	Protein	20.0	4.2133370954202265	0.25408865597557834	16343.2	13435.869301129795
FANCL	10063-10	Protein	20.0	2.66143405039392	0.07796594099794797	458.6	994.5873449877444
