SeqId	Target	Type	Dilution	RefLog10Median	RefLog10MAD	RefMedian	RefSD	SeqId
10000-28	CRBB2	Protein	20.0	2.8324126778754612	0.10014153881005525	679.8499999999999	857.0544592658443	10000-28
10001-7	c-Raf	Protein	20.0	2.7164597081303015	0.16381161460011748	520.55	309.23111295904795	10001-7
10003-15	ZNF41	Protein	0.5	2.3205616801952367	0.05809931535104477	209.2	79.51448312779397	10003-15
10006-25	ELK1	Protein	20.0	2.917741759503625	0.09643895083605251	827.45	1979.3195587398072	10006-25
10008-43	GUC1A	Protein	20.0	2.777281186063385	0.07502675544469067	598.8	1474.475095251914	10008-43
10010-10	BECN1	Protein	20.0	2.6135774916657644	0.08105179603067991	410.75	255.4744297888536	10010-10
10011-65	OCRL	Protein	20.0	3.5159069219143664	0.0865591688554263	3280.25	1485.832504715006	10011-65
10012-5	SPDEF	Protein	20.0	3.31373910275697	0.12000115734122885	2059.4	1048.867111742713	10012-5
10013-34	Fc_MOUSE	Protein	20.0	2.8049903423929003	0.10621119499930196	638.25	420.74974638742435	10013-34
10014-31	SLUG	Protein	20.0	3.036568978918947	0.09274507558532508	1087.85	536.2206332449035	10014-31
10015-119	KCAB2	Protein	20.0	2.836861643670713	0.08473015208040555	686.85	345.0600178984077	10015-119
10021-1	Fc_MOUSE	Protein	20.0	3.086199610171546	0.11872097379645576	1219.55	585.7430078496016	10021-1
10022-207	POLH	Protein	20.0	2.3788519369649053	0.08760588368831247	239.25	175.1006751019311	10022-207
10023-32	VDR	Protein	20.0	2.875639902353072	0.11195482784537325	751.0	303.0210298669395	10023-32
10024-44	HOGA1	Protein	20.0	2.9423553468760004	0.125209696129725	875.7	912.3811044554184	10024-44
10025-1	DLDH	Protein	0.5	3.144122474847947	0.12427378638251531	1393.5500000000002	770.6746112613017	10025-1
10030-8	MutY homolog	Protein	20.0	2.2684608167741294	0.08481512702522295	185.55	456.8132637731303	10030-8
10034-16	Fc_MOUSE	Protein	20.0	3.6515342938807853	0.12993150087792796	4482.65	1977.9386389289552	10034-16
10035-6	DUS4	Protein	20.0	2.8519606465318224	0.08894142367986549	711.15	203.8793623318775	10035-6
10036-201	ZHX3	Protein	0.5	3.4598445755068528	0.09586220918471652	2883.0	747.1626036145927	10036-201
10037-98	SIG12	Protein	20.0	2.4900988005135236	0.15287740231104605	309.1	183.9100077656753	10037-98
10039-32	PNP	Protein	0.5	3.626217138016222	0.24722163979634443	4228.8	4631.9829575916	10039-32
10040-63	P73L	Protein	20.0	2.7581924755372373	0.08889773949995745	573.05	1713.2909727618812	10040-63
10041-3	HNF4A	Protein	0.5	4.484743772413021	0.11448650307859096	30531.199999999997	8690.923747013221	10041-3
10042-8	SGK3	Protein	20.0	3.0553209482836197	0.09910561924759564	1135.85	350.01887229595616	10042-8
10043-31	BRD4	Protein	20.0	2.851350090307171	0.08565517458754107	710.1500000000001	252.89713752199472	10043-31
10044-12	WN10A	Protein	20.0	2.9931034727669052	0.18633085697745436	984.25	435.9298118498679	10044-12
10045-47	CUL3	Protein	20.0	3.0194070365293157	0.1390864731089724	1045.6999999999998	1213.0232763943645	10045-47
10046-55	cIAP-1	Protein	20.0	3.1838105801958405	0.12754084466541937	1526.9	909.2264758229375	10046-55
10047-12	NCF-2	Protein	0.5	2.7292052984590383	0.07200070000099637	536.05	181.09233531342076	10047-12
10048-7	PEBB	Protein	20.0	3.2388987568156455	0.07102942350000868	1733.4	429.7220602668198	10048-7
10049-112	TERF1	Protein	20.0	2.799788398702603	0.07151990841494153	630.6500000000001	528.8070608274294	10049-112
10053-5	ILK1	Protein	20.0	4.2232479250482315	0.2846115712916328	16720.449999999997	12761.8519392193	10053-5
10054-3	GAN	Protein	20.0	2.6200839500686497	0.08295272474366933	416.95000000000005	169.20388883611147	10054-3
10056-5	FOXM1	Protein	20.0	3.214459688415425	0.239879777003222	1638.5500000000002	1445.7749558803569	10056-5
10058-1	RD23A	Protein	20.0	4.208793651989098	0.2027308688328534	16173.150000000001	13751.153273809567	10058-1
10063-10	FANCL	Protein	20.0	2.6981005369026523	0.08747675483644472	499.0	255.2460282042678	10063-10
10064-12	RBBP9	Protein	0.5	3.193931159171669	0.07133314094516363	1562.9	276.0444671572785	10064-12
10069-2	PIN1	Protein	20.0	2.8594985581877763	0.09557261839535655	723.6	1586.6836363527068	10069-2
10070-22	PLCG2	Protein	20.0	3.2287467273621604	0.2093901401050561	1693.35	1381.465315606389	10070-22
10073-22	TYDP1	Protein	20.0	3.0689831914950236	0.1024684589071274	1172.15	574.4277816199999	10073-22
10074-128	BRD2	Protein	20.0	3.0154854900664145	0.09663165425117289	1036.3	479.1631500740997	10074-128
10075-75	ACBD6	Protein	20.0	2.9174792443903437	0.29273116207809835	826.95	1134.1819500487602	10075-75
10076-1	AP4M1	Protein	20.0	3.329733372765064	0.1825517730428099	2136.6499999999996	1667.7843417973638	10076-1
10078-5	BAG3	Protein	20.0	2.9447540207134013	0.07646542315102921	880.55	1008.7033677140704	10078-5
10080-9	EI2BA	Protein	20.0	3.2229502342442213	0.2456288808223163	1670.9	1978.7638490537108	10080-9
10081-17	SATB2	Protein	20.0	2.8584770043123466	0.1214472796402218	721.9000000000001	415.9888995828989	10081-17
10082-251	NFL	Protein	0.5	2.951870863300303	0.1702476222714395	895.1	556.7182459231101	10082-251
10085-25	STAR	Protein	0.5	3.136339769373692	0.09811230686371848	1368.8000000000002	358.83739973619333	10085-25
10086-39	CBS	Protein	20.0	3.207916983949511	0.09369394778996988	1614.05	2095.009826777742	10086-39
