SeqId	Reference
10000-28	875
10001-7	372.6
10003-15	205.8
10006-25	804
10008-43	655.4
10010-10	604.8
10011-65	3676
10012-5	1917
10013-34	679.8
10014-31	1373.9
10015-119	673.8
10021-1	1640.3
10022-207	345.4
10023-32	823.7
10024-44	1066.8
10025-1	1374.2
10030-8	219.5
10034-16	4743.1
10035-6	752.2
10036-201	2573.8
10037-98	422.8
10039-32	2974.2
10040-63	706.6
10041-3	26570.2
10042-8	1003.2
10043-31	700.2
10044-12	1465
10045-47	915.1
10046-55	1790.1
10047-12	542.6
10048-7	1797.9
10049-112	649
10053-5	13779.1
10054-3	688.5
10056-5	834
10058-1	13242.8
10063-10	536.4
10064-12	1427.2
10069-2	678.5
10070-22	1132.8
10073-22	1031.2
10074-128	1158.3
10075-75	327.1
10076-1	1191.1
10078-5	840.8
10080-9	1634.4
10081-17	746.2
10082-251	675.1
10085-25	1497.3
10086-39	2354.2
10087-10	446.1
10088-37	2331.6
10089-7	741.2
10336-3	1159.5
10339-48	13139.1
10342-55	520.7
10344-334	4509.4
10346-5	8968.5
10351-51	1886.7
10354-57	3027.2
10356-21	2190.6
10361-25	653.2
10362-35	485.5
10363-13	5652.9
10364-6	2727.6
10365-132	959
10366-11	1845.7
10367-62	249.1
10370-21	563.8
10372-18	4073.7
10379-19	1669.5
10382-1	65802.6
10390-21	784.8
10391-1	1905.8
10396-6	232.4
10398-110	681.5
10416-79	1592.2
10418-36	2198.1
10419-1	6836.1
10420-30	879.1
10424-31	682.4
10425-3	1088.7
10426-21	208.1
10427-2	1283.2
10428-1	2044.6
10430-31	189
10432-3	167.7
10435-2	835.7
10438-19	1018
10439-57	7251.5
10440-26	1376.2
10442-1	383.1
10445-20	772.6
10447-18	2916.5
10449-31	3535.2
10451-11	2157.6
10452-24	864.4
10453-7	133.2
10454-99	258.5
10455-196	726.4
10457-3	639.5
10460-1	2335.8
10461-57	216.9
10462-14	526.5
10463-23	1038.4
10464-6	1914.2
10467-58	548.6
10470-34	479.8
10471-25	820.6
10472-53	1568.8
10473-2	416.7
10476-23	6572.7
10477-162	598.2
10479-18	3488.1
10480-33	835.8
10485-56	69.2
10489-19	174.2
10490-3	4094.1
10491-21	1611.4
10494-48	310.8
10495-10	227.2
10496-11	766
10497-242	475.9
10499-1	275.9
10501-3	48.8
10502-15	710.7
10503-55	993
10504-6	313.1
10505-12	1012.9
10506-53	1437.7
10507-166	302.3
10510-62	256.1
10511-10	796.9
10512-13	323.9
10513-13	1330.3
10514-5	12951.2
10516-53	92
10518-14	128.1
10521-10	610.8
10522-167	7042.5
10527-22	285.5
10528-2	430
10529-19	475.9
10530-8	552.8
10531-18	3259.9
10533-1	409.4
10534-40	449.2
10535-25	615.6
10539-30	827.2
10546-2	917.7
10547-42	558.5
10548-35	2203.4
10550-37	644.2
10551-7	4728.4
10552-88	667.3
10553-8	2841.4
10554-23	68.4
10557-6	1100.8
10558-26	4779.6
10560-1	434.9
10561-5	941.2
10562-42	1315.3
10563-13	209.8
10565-19	4692.9
10569-28	1153
10571-14	582.4
10572-65	10734.5
10574-10	1548.8
10575-31	4897.4
10576-7	662.5
10580-14	492.4
10582-36	425.1
10583-1	571.5
10584-7	4286.9
10588-39	535.6
10589-7	641.9
10593-14	166.2
10600-24	5995.8
10603-1	1649.2
10605-22	180.6
10606-34	4221.9
10607-4	41
10608-9	781.6
10610-8	1132
10612-18	1993.4
10613-33	2160.9
10615-18	1902.7
10616-67	878
10618-190	618.5
10620-21	11421.8
10621-26	552
10622-9	182.7
10623-19	477.7
10624-45	339.2
10626-116	1914.9
10627-87	1099.3
10630-5	1077.2
10631-9	1193.2
10636-1	761.8
10637-50	301.8
10638-1	212.7
10639-1	2789.1
10640-9	835.8
10643-16	2657.3
10645-72	4049.9
10647-18	1458.7
10655-43	115.6
10658-28	849
10659-49	176.9
10660-33	327.1
10661-4	192.6
10663-42	958.2
10665-30	879.5
10666-7	802.4
10667-78	214.6
10668-5	1192.3
10670-26	51.1
10671-67	404.5
10672-75	447.2
10675-223	203.1
10677-9	3562
10692-48	3111.8
10693-43	1131.8
10695-12	380.8
10699-52	377.4
10700-10	6641.1
10701-30	1464
10702-1	5147.6
10703-203	814.3
10704-91	225.7
10705-14	329.1
10708-3	1270.7
10710-23	101.7
10713-151	168.1
10714-7	691.3
10715-5	3515.6
10716-35	1058
10721-76	10333.5
10722-13	4297.8
10723-41	2190.6
10724-45	638.7
10731-10	2923.8
10734-339	1572.3
10737-96	4893.9
10738-11	24668.8
10741-22	107.8
10743-13	3147.1
10746-24	1929.2
10748-216	1027.4
10749-18	3118.6
10752-8	1152
10753-31	1101.8
10754-113	2294.1
10756-34	1123.3
10758-2	2153.1
10760-107	6058.1
10761-5	680
10762-2	853.8
10767-52	723.8
10772-21	386.3
10780-10	556.8
10781-19	4195.2
10785-8	1189.5
10791-21	120.3
10798-4	653.6
10800-15	1423.7
10801-11	3162.1
10803-22	3151.9
10809-14	444.8
10814-7	1167.3
10815-2	371.5
10816-150	2528.5
10817-26	3304.6
10818-36	1339.7
10819-108	5066.9
10823-19	1799.4
10825-12	1094
10827-67	370.4
10830-5	406
10832-24	1119.2
10833-64	985.2
10835-25	1235
10837-131	4071.4
10842-7	654.5
10847-1	1236.5
10848-137	466.4
10851-77	12358
10852-114	14808.5
10854-15	2685.4
10855-55	4659.9
10866-60	4967.6
10870-32	7897.9
10876-300	847
10880-38	3677.9
10882-12	975
10885-36	1853.1
10888-4	134.6
10889-2	1112
10890-135	1048.9
10892-8	2232.2
10894-25	337.6
10895-28	1493.4
10900-272	1116.3
10902-53	657.6
10903-50	1914.8
10907-116	12580.5
10908-2	1260.3
10910-6	859.5
10914-4	1227.1
10916-44	5234.2
10917-40	514.6
10924-258	108.7
10927-65	601
10928-7	2196.6
10933-107	1186.4
10938-13	1558.8
10939-16	383.2
10940-25	1174.4
10943-36	297.2
10945-11	3326.7
10948-14	355.1
10949-59	3834.1
10953-14	639.6
10955-4	607.1
10956-82	1888.5
10959-125	356.8
10961-15	1530.8
10962-46	764.5
10966-1	8747.5
10967-12	3018.2
10970-3	1617.6
10974-20	1758.2
10975-59	1004.4
10976-44	1112.8
10977-55	1566.3
10978-39	624
10980-11	2779.2
10981-56	772.3
10990-21	2713.4
11067-13	1132.7
11071-1	512.7
11081-1	1496.2
11083-23	992.8
11089-7	6989.4
11094-104	1196.3
11096-57	3223.3
11098-1	654
11101-18	343
