SeqId	Reference
10000-28	2304.3
10001-7	327.4
10003-15	173.6
10006-25	543.1
10008-43	473.6
10010-10	306.1
10011-65	2532.8
10012-5	1146.8
10013-34	404.0
10014-31	776.1
10015-119	571.1
10021-1	915.2
10022-207	217.9
10023-32	480.2
10024-44	634.1
10025-1	1206.5
10030-8	148.3
10034-16	2926.1
10035-6	460.5
10036-201	1700.9
10037-98	241.1
10039-32	2691.7
10040-63	672.3
10041-3	22492.3
10042-8	785.5
10043-31	680.0
10044-12	642.5
10045-47	733.6
10046-55	1300.3
10047-12	476.5
10048-7	1131.8
10049-112	482.5
10053-5	15679.9
10054-3	627.5
10056-5	791.1
10058-1	10188.0
10063-10	362.4
10064-12	1121.2
10069-2	686.8
10070-22	589.2
10073-22	884.9
10074-128	752.0
10075-75	291.1
10076-1	888.5
10078-5	611.4
10080-9	1188.1
10081-17	494.5
10082-251	433.4
10085-25	1116.8
10086-39	1553.8
10087-10	400.0
10088-37	2196.3
10089-7	469.2
10336-3	1113.0
10339-48	9379.2
10342-55	341.9
10344-334	2704.4
10346-5	10337.8
10351-51	933.2
10354-57	2820.9
10356-21	1051.2
10361-25	536.1
10362-35	300.1
10363-13	4646.5
10364-6	2824.3
10365-132	619.2
10366-11	1492.0
10367-62	182.4
10370-21	518.0
10372-18	3371.5
10379-19	989.5
10382-1	51027.8
10390-21	462.9
10391-1	1578.8
10396-6	189.4
10398-110	446.1
10416-79	828.8
10418-36	1464.0
10419-1	4946.2
10420-30	522.8
10424-31	358.9
10425-3	691.4
10426-21	103.0
10427-2	614.5
10428-1	1157.4
10430-31	126.9
10432-3	113.3
10435-2	577.5
10438-19	801.1
10439-57	5809.2
10440-26	700.3
10442-1	274.7
10445-20	682.4
10447-18	2350.0
10449-31	2071.7
10451-11	1740.0
10452-24	477.9
10453-7	77.2
10454-99	208.6
10455-196	632.0
10457-3	335.2
10460-1	1357.7
10461-57	168.8
10462-14	313.2
10463-23	659.0
10464-6	1390.2
10467-58	374.3
10470-34	254.3
10471-25	403.0
10472-53	904.2
10473-2	193.2
10476-23	5186.8
10477-162	335.1
10479-18	2883.7
10480-33	614.0
10485-56	52.2
10489-19	106.8
10490-3	2810.1
10491-21	761.0
10494-48	224.6
10495-10	157.4
10496-11	838.3
10497-242	269.3
10499-1	161.4
10501-3	29.8
10502-15	447.4
10503-55	604.7
10504-6	251.4
10505-12	620.6
10506-53	770.4
10507-166	305.8
10510-62	317.3
10511-10	548.4
10512-13	220.2
